Description,Status,Related Records,Submittal Type,Unnamed: 6,lon,lat,record_date,original_lon,original_lat,mapping_distance_meters,mapped_to_sales_idx
AC REPLACEMENT LIKE FOR LIKE & MOBILE HOME DUCT CHANGE OUT LIKE FOR LIKE,Closed-CC Issued,0,ePlan,,-81.94727019172409,26.50216207090006,2022-12-01,-81.947243193538,26.502185792854,4.00076266886084,12245
Demolition on mobile home from storm damage,Closed-CC Issued,0,ePlan,,-81.93609965817748,26.501821281577428,2023-01-01,-81.936072611028,26.501845849515,4.067572252834304,12717
Replacement Mobile Home,Permit Issued,1,ePlan,,-81.93609965817748,26.501821281577428,2023-01-01,-81.936072611028,26.501845849515,4.067572252834304,12717
Replaced A/C @ Holiday Condo,Closed-CC Issued,0,ePlan,,-81.94658075815475,26.503816883540487,2022-12-01,-81.946577870733,26.503853335074,4.070495373232658,12033
"insulation, siding and ductwork ***REVISED TO ADD SHINGLE RE-ROOF FOR ADDITIONAL VALUE OF $12000 (NOA21-0617.05 UNDERLAYMENT, FL#18355-R8 SHINGLE)",Permit Expired,1,Paper Submittal,,-81.93690642528244,26.504190431310555,2022-10-01,-81.936904829987,26.504153882661,4.0724695594693285,11636
"ADD SHINGLE RE-ROOF FOR ADDITIONAL VALUE OF $12000 (NOA21-0617.05 UNDERLAYMENT, FL#18355-R8 SHINGLE)",Closed-Revision Approved,1,Paper Submittal,,-81.93690642528244,26.504190431310555,2022-12-01,-81.936904829987,26.504153882661,4.0724695594693285,11636
demolition of storm damaged mobile home,Closed-Voided,0,ePlan,,-81.9455842995588,26.50165214285161,2022-11-01,-81.945548431556,26.501662059273,4.142613484114299,12340
Replace electrical pedestal.,Waiting on Applicant,0,ePlan,,-81.9455842995588,26.50165214285161,2022-12-01,-81.945548431556,26.501662059273,4.142613484114299,12340
demo of mobile,Closed-CC Issued,0,ePlan,,-81.9455842995588,26.50165214285161,2023-01-01,-81.945548431556,26.501662059273,4.142613484114299,12340
demo home and remove all debris from hurricane ian,Permit Expired,0,ePlan,,-81.93601360280532,26.50419858975308,2022-11-01,-81.936032915115,26.504165665275,4.24913931949141,11628
Demo mobile Home,Closed-CC Issued,0,Paper Submittal,,-81.9447113553338,26.50199714409696,2023-08-01,-81.944715269616,26.502035370283,4.277590182785991,151
monitoring takeover,Permit Expired,0,ePlan,,-81.92425204828125,26.52879525894945,2023-02-01,-81.924261829607,26.528757744187,4.315759874626384,3856
Demolition of permanent travel trailer with attached room due to Hurricane Ian Damage,Closed-CC Issued,0,ePlan,,-81.94549362612155,26.503470095553087,2022-12-01,-81.94550505741,26.503507513866,4.355450299861256,12088
Inspected electrical for FPL power reconnect.,Closed-CC Issued,0,ePlan,,-81.94549362612155,26.503470095553087,2023-01-01,-81.94550505741,26.503507513866,4.355450299861256,12088
"a little drywall, AC, and insulation",Closed-CC Issued,0,ePlan,,-81.9385840712362,26.504159831073263,2022-10-01,-81.938586722626,26.504120556608,4.381984916921395,11651
Repairs due to hurricane ian,Closed-CC Issued,0,ePlan,,-81.94698262202817,26.504648855594404,2022-11-01,-81.946987981519,26.504609613182,4.409018389538498,11916
DEMOLITION OF MOBILHOME LOCATED AT THIS ADDRESS.,Closed-CC Issued,0,ePlan,,-81.93778524769787,26.503994034342107,2023-01-01,-81.937807104616,26.504027085366,4.410990982281781,11612
demo of mobile,Closed-CC Issued,0,ePlan,,-81.94717908407094,26.502727435133405,2023-02-01,-81.947156834701,26.502760447037,4.431627027557536,12176
"ac change out, like for like, no duct work",Closed-CC Issued,0,ePlan,,-81.94728811989341,26.50291007864064,2022-10-01,-81.947267085003,26.502943899605,4.4337293484105125,12147
Demolition of Mobile Home,Closed-CC Issued,0,ePlan,,-81.93739420181448,26.504571933948373,2023-06-01,-81.937409285866,26.504609311602,4.486924631922443,11706
Package unit swap,Closed-CC Issued,0,ePlan,,-81.94543115436437,26.503653826382244,2022-07-01,-81.945429124353,26.503694438911,4.526630988316392,12068
SHINGLE REROOF,Closed-CC Issued,0,ePlan,,-81.94543115436437,26.503653826382244,2022-09-01,-81.945429124353,26.503694438911,4.526630988316392,12068
Remove and Replace Windows,Closed-CC Issued,0,ePlan,,-81.94543115436437,26.503653826382244,2022-11-01,-81.945429124353,26.503694438911,4.526630988316392,12068
Remove and Replace existing siding,Closed-CC Issued,0,ePlan,,-81.94543115436437,26.503653826382244,2022-12-01,-81.945429124353,26.503694438911,4.526630988316392,12068
Replace existing duel pedistol with new meter cans and 100A disconnects-with new grounding - like for like,Closed-CC Issued,0,ePlan,,-81.94543115436437,26.503653826382244,2023-03-01,-81.945429124353,26.503694438911,4.526630988316392,12068
Hurricane Ian Damage - Re-model,Waiting on Applicant,0,Paper Submittal,,-81.93717968836633,26.50399957195247,2022-11-01,-81.937161241748,26.504035813228,4.526917526896873,11607
REPLACE HVAC PACKAGE UNIT,Closed-CC Issued,0,ePlan,,-81.9466527007861,26.504652215165947,2022-07-01,-81.946651623471,26.50461146459,4.537939077412869,11919
Reroof due to Hurricane Ian,Closed-CC Issued,0,ePlan,,-81.94637551516966,26.503817475659144,2023-02-01,-81.946383208847,26.503857510124,4.538186205842298,12035
Remove home and all debris caused by Hurricane Ian,Permit Expired,0,ePlan,,-81.93567249967487,26.50435336189477,2022-11-01,-81.935631593425,26.504357666996,4.578832847353059,11658
Replaced A/C @ Holiday Condo,Closed-CC Issued,0,ePlan,,-81.94709708306289,26.503997048642216,2023-02-01,-81.947091539629,26.504037873345,4.586311069353805,11998
Demo of mobile home,Closed-CC Issued,0,ePlan,,-81.94571576865798,26.501649164542712,2023-02-01,-81.945755806224,26.501659004034,4.589601265004935,12339
Replace Breakers and Outlet in pedestal.,Closed-CC Issued,0,ePlan,,-81.94554240766429,26.504670796888675,2023-02-01,-81.945539785687,26.50462946456,4.610363405008768,11929
AC REPLACEMENT LIKE FOR LIKE (PACKAGE UNIT),Closed-CC Issued,0,ePlan,,-81.94554240766429,26.504670796888675,2023-05-01,-81.945539785687,26.50462946456,4.610363405008768,11929
Demolition of permanent travel trailer with attached room.,Closed-CC Issued,0,ePlan,,-81.94556607281956,26.501982893142426,2022-10-01,-81.945556802706,26.502023261912,4.610815491040181,12288
Replacement double wide park model on engineered piers,Closed-CO Issued,1,ePlan,,-81.94556607281956,26.501982893142426,2023-05-01,-81.945556802706,26.502023261912,4.610815491040181,12288
Package Unit Replacement,Closed-CC Issued,0,ePlan,,-81.94639169669304,26.50502044719312,2022-11-01,-81.946391064474,26.504978883173,4.62744194416978,11876
demo of mobile home,Closed-CC Issued,0,ePlan,,-81.9456316415434,26.50346868731654,2023-04-01,-81.945652095017,26.50350506378,4.645648722275053,12087
HURRICANE IAN REPLACEMENT MH11681 FOX SPARROW,Closed-CO Issued,0,ePlan,,-81.9456316415434,26.50346868731654,2023-09-01,-81.945652095017,26.50350506378,4.645648722275053,12087
Replacement Park Model,Closed-CO Issued,1,ePlan,,-81.93813405667079,26.50417920482748,2023-01-01,-81.938131969437,26.504137299723,4.670659179866157,11647
DEMOLITION OF MOBILHOME LOCATED AT THIS ADDRESS.,Closed-CC Issued,0,ePlan,,-81.93813405667079,26.50417920482748,2023-01-01,-81.938131969437,26.504137299723,4.670659179866157,11647
"Screen Room, Patio Cover & Shed on raised wood deck",Closed-CO Issued,0,ePlan,,-81.93813405667079,26.50417920482748,2023-07-01,-81.938131969437,26.504137299723,4.670659179866157,11647
REMOVE HURRICANE DAMAGED MOBILE HOME,Closed-CC Issued,0,ePlan,,-81.94668044177556,26.50400135831795,2023-05-01,-81.946689111852,26.504042552083,4.686157512253345,12002
RE-ROOF SHINGLE TO SHINGLE,Closed-CC Issued,0,ePlan,,-81.94459636111203,26.50367234936317,2023-01-01,-81.944588977364,26.503713873368,4.694963346169865,12076
demo of mobile unit,Closed-CC Issued,0,ePlan,,-81.94449183821813,26.50367365563149,2022-11-01,-81.944504756501,26.503713873366,4.702328891473459,12077
Replacement Mobile Home,Closed-CO Issued,0,ePlan,,-81.94449183821813,26.50367365563149,2023-08-01,-81.944504756501,26.503713873366,4.702328891473459,12077
"AC change out, like for like, no duct work, 2.5 ton, 14 seer, 10 kw",Closed-CC Issued,0,ePlan,,-81.94743816125353,26.520189307805683,2022-12-01,-81.947467568889,26.520158603976,4.732781524959745,3109
AC REPLACEMENT LIKE FOR LIKE W/MOBILE HOME DUCT CHANGE OUT at 16310 Calico Calm Ln,Closed-CC Issued,0,ePlan,,-81.94581617483212,26.504480684442505,2022-10-01,-81.945773652962,26.504478278935,4.7411028617143405,11963
Remove and Replace insulation and drywall in Screen Porch. Repair or Replace AC Compressor outside,Waiting on Applicant,0,ePlan,,-81.93869869872276,26.504154840166503,2022-10-01,-81.938682530563,26.50411536899,4.748268658758131,11652
Replace package unit,Closed-CC Issued,0,ePlan,,-81.9355751251925,26.502165347266327,2023-01-01,-81.935535451409,26.502181963188,4.788180996799294,12590
Tear off and Reroof*Inspections Done By Private Provider â Universal Engineering*,Permit Expired,0,ePlan,,-81.9355751251925,26.502165347266327,2023-02-01,-81.935535451409,26.502181963188,4.788180996799294,12590
200-Amp Underground Service,Closed-CC Issued,0,ePlan,,-81.9355751251925,26.502165347266327,2023-05-01,-81.935535451409,26.502181963188,4.788180996799294,12590
Demo of mobile home,Closed-CC Issued,0,Paper Submittal,,-81.93916079472892,26.50415054563696,2023-02-01,-81.939163585803,26.504107464544,4.805841392005506,11656
Hurricane Ian Damage - Duct Work Only,Permit Expired,0,Paper Submittal,,-81.93790755191142,26.503992915702632,2022-10-01,-81.93793627719,26.504025339793,4.822177930975387,11613
DEMOLITION OF MOBILHOME LOCATED AT THIS ADDRESS.,Closed-CC Issued,0,ePlan,,-81.93802245367452,26.504180226224367,2023-01-01,-81.938035090007,26.504138608902,4.841688584740351,11646
Replaced A/C @ Holiday Condo,Closed-CC Issued,0,ePlan,,-81.94627231436176,26.503818127580804,2022-12-01,-81.946285877904,26.503859597648,4.857094757011185,12036
monitoring takeover,Closed-CC Issued,0,ePlan,,-81.94995728270924,26.5107046607356,2023-04-01,-81.949974527453,26.51074475605,4.858726418570516,4062
DEMOLITION OF MOBILHOME LOCATED AT THIS ADDRESS.,Closed-CC Issued,0,ePlan,,-81.93694302952436,26.504001735036425,2023-01-01,-81.936967482888,26.504038431586,4.908951670696043,11605
DEMOLISH HOME AND ALL STURCTURES ON PROPERTY,Closed-CC Issued,0,Paper Submittal,,-81.94431635102127,26.50166964569309,2022-11-01,-81.94428211545,26.501697481063,4.911826640519862,12351
demo of mobile home,Closed-Voided,0,ePlan,,-81.94604864387989,26.50346764026085,2022-11-01,-81.946018049591,26.503499560712,4.921962802666797,12084
demo of mobile home,Waiting on Applicant,0,ePlan,,-81.94604864387989,26.50346764026085,2022-12-01,-81.946018049591,26.503499560712,4.921962802666797,12084
demo of mobile home,Closed-CC Issued,0,ePlan,,-81.94467701225797,26.50219330061949,2022-11-01,-81.944707436758,26.502225529112,4.933782186206579,12268
Demolition of permanent travel trailer due to Hurricane Ian damage,Permit Expired,0,ePlan,,-81.94467701225797,26.50219330061949,2023-01-01,-81.944707436758,26.502225529112,4.933782186206579,12268
Demolition of permanent travel trailer with attached room,Closed-CC Issued,0,ePlan,,-81.94606689746762,26.505026380076863,2022-11-01,-81.94605838096,26.504982685263,4.955637906010154,11879
Hurricane Ian Damage - Demo,Closed-Withdrawn,0,Paper Submittal,,-81.9448858866676,26.502189798340737,2023-01-01,-81.944918670104,26.502220158778,4.974036027124953,12266
Screen room on raised wood deck & Patio Cover,Closed-CO Issued,0,ePlan,,-81.93746443994684,26.504185330311792,2022-08-01,-81.937486106569,26.504146027585,4.995957822818142,11641
needs electrical permit for FPL,Closed-CC Issued,0,Paper Submittal,,-81.945528296454,26.504016675138296,2022-11-01,-81.945541786979,26.504059585647,5.007304299252849,12013
Like for like carport replacement,Permit Issued,0,Paper Submittal,,-81.94727661613794,26.50161639517999,2023-03-01,-81.94731224168,26.501643873944,5.0084867442205505,12327
"INSTALL NEW 36000 BTU DURASTAR 4 TO 1 20 SEER MINI SPLIT WITH (4) 9000 BTU HEADS, CONNECTING TO EXISTING ELECTRIC",Closed-CC Issued,0,ePlan,,-81.94454137109777,26.50348732284884,2023-03-01,-81.944553791432,26.503530621521,5.014394186913965,12095
demoliton of mobile home,Closed-CC Issued,0,ePlan,,-81.94457192696333,26.50219438743233,2022-12-01,-81.944601820085,26.50222821428,5.025274245911955,12269
"Install screen room with 3"" composite roof with acrylic windbreaks & prime door on existing concrete",Closed-CO Issued,0,ePlan,,-81.87823070128191,26.550825208942623,2022-07-01,-81.878189146846,26.55080731243,5.036607317259294,17432
Expand slab with perimeter footings for Lanai under separate permit.,Closed-CC Issued,0,ePlan,,-81.87823070128191,26.550825208942623,2022-10-01,-81.878189146846,26.55080731243,5.036607317259294,17432
Replace exterior windows & patio door (SOME BROKEN GLASS DAMMAGE BY HURRICANE IAN),Closed-CC Issued,0,ePlan,,-81.87823070128191,26.550825208942623,2022-10-01,-81.878189146846,26.55080731243,5.036607317259294,17432
HVAC SAME SIZE CAHNGEOUT- 4 TON/ 16.5 SEER/ SC,Permit Expired,0,ePlan,,-81.87823070128191,26.550825208942623,2023-06-01,-81.878189146846,26.55080731243,5.036607317259294,17432
R/R shingle,Closed-CC Issued,0,ePlan,,-81.87823070128191,26.550825208942623,2023-06-01,-81.878189146846,26.55080731243,5.036607317259294,17432
Demolition of permanent travel trailer with attached room,Closed-CC Issued,0,ePlan,,-81.94709718893006,26.504647938809843,2022-10-01,-81.947075881753,26.504607637897,5.074726283130881,11915
ac changeout due to hurricane ian damage,Closed-CC Issued,0,ePlan,,-81.975423700853,26.4965345188122,2022-11-01,-81.975424580003,26.496580208129,5.087076233031738,35104
ac changeout due to hurricane ian damage,Permit Issued,0,ePlan,,-81.975423700853,26.4965345188122,2022-11-01,-81.975424580003,26.496580208129,5.087076233031738,35104
ac changeout due to hurricane ian damage,Permit Issued,0,ePlan,,-81.975423700853,26.4965345188122,2022-11-01,-81.975424580003,26.496580208129,5.087076233031738,35104
"Hurricane Remediation - Flooring, Insulation, Drywall, Paint, Cabinets, Interior DoorsUnits 701, 702, 703",Closed-CC Issued,0,ePlan,,-81.975423700853,26.4965345188122,2023-04-01,-81.975424580003,26.496580208129,5.087076233031738,35104
demo of mobile home,Closed-CC Issued,0,ePlan,,-81.94521630388246,26.504022003887822,2023-02-01,-81.945208161781,26.504067107736,5.102113830428165,12016
removed and replaced breakers due to water damage Hurricane Ian,Closed-CC Issued,0,ePlan,,-81.94481186400363,26.50383965777017,2022-11-01,-81.944826538466,26.503883289978,5.124481000410769,12050
"Change out like for like package unit HVAC 14 Seer, 2.50 Ton, 7 k/w",Closed-CC Issued,0,ePlan,,-81.94481186400363,26.50383965777017,2023-01-01,-81.944826538466,26.503883289978,5.124481000410769,12050
TILE RE-ROOF *Inspections Done By Private Provider â Beryl Project Engineering*,Closed-CC Issued,0,ePlan,,-81.87934451602581,26.543072106953307,2022-12-01,-81.879298715944,26.543078203964,5.143443033479999,9273
Demoltion of mobile home,Closed-CC Issued,0,ePlan,,-81.94585159982041,26.50503103850694,2023-01-01,-81.945858770851,26.504984966517,5.190487567034063,11881
Demo of mobile home,Closed-CC Issued,0,Paper Submittal,,-81.94509333418246,26.502185792951373,2023-02-01,-81.945129903449,26.502214788443,5.195257756022257,12264
demolition of mobile home,Closed-CC Issued,0,ePlan,,-81.94469431814152,26.50402773829652,2023-02-01,-81.944687000537,26.504073873281,5.199947888029546,12021
Demolition of permanent travel trailer,Closed-CC Issued,0,ePlan,,-81.94501858618065,26.50383451409752,2022-10-01,-81.945021242677,26.503881229621,5.208773437212615,12048
SHINGLE RE ROOF: 11SQS3/12,Closed-CC Issued,0,ePlan,,-81.94461528855125,26.50333863421685,2023-02-01,-81.94458127857,26.503306464866,5.211328966312424,12114
demo of mobile home,Closed-CC Issued,0,ePlan,,-81.94710263399058,26.50381555243878,2022-11-01,-81.947064525448,26.50384289745,5.221383469453671,12028
Demolition of permanent travel trailer due to Hurricane Ian damage,Closed-CC Issued,0,ePlan,,-81.94678348358424,26.50400053203893,2023-01-01,-81.946759636102,26.504040949261,5.224045200359354,12001
Replaced A/C @ Holiday Condo,Closed-CC Issued,0,ePlan,,-81.94521759291416,26.504676796903905,2022-12-01,-81.945202656025,26.504632137315,5.24220233785032,11932
"Roof over home, hurricane damage.",Closed-CO Issued,0,ePlan,,-81.94521759291416,26.504676796903905,2023-02-01,-81.945202656025,26.504632137315,5.24220233785032,11932
Demolish and remove hurricane damaged mobile home. No concrete or tree removal,Closed-CC Issued,0,ePlan,,-81.94511197458479,26.504023318066974,2023-02-01,-81.945124414243,26.504069011088,5.271677595913609,12017
Replace Flooded Meter Pedestal from IAN,Closed-CC Issued,0,ePlan,,-81.94511197458479,26.504023318066974,2023-08-01,-81.945124414243,26.504069011088,5.271677595913609,12017
Re-Roof; Remove the Existing Flat Roof; Install New Flat Roof,Closed-CC Issued,0,ePlan,,-81.89079173272289,26.52671862070785,2022-12-01,-81.890831967135,26.52674370302,5.277942060250841,11128
Installing 2 Shutters **R01-Correction of FL19518-R1 to FL26980-R1**,Closed-CC Issued,1,ePlan,,-81.89079173272289,26.52671862070785,2023-01-01,-81.890831967135,26.52674370302,5.277942060250841,11128
